"Activo","Descripción","Etiqueta en facturas","Nombre del impuesto","Secuencia","Tipo de impuesto","Validez fiscal"
"True","IVA 21% (Bienes)","","21% G","0","Ventas","Bienes"
"True","21% IVA (bienes corrientes)","","21% G","0","Compras","Bienes"
"True","IVA 21% (Servicios)","","21% S","1","Ventas","Servicios"
"True","21% IVA soportado (servicios corrientes)","","21% S","1","Compras","Servicios"
"True","IVA 21% Adquisición de servicios intracomunitarios","","21% EU S","1","Compras","Servicios"
"True","IVA 21% Adquisición Intracomunitaria. Bienes corrientes","","21% EU G","1","Compras","Bienes"
"True","IVA 21% Adquisición Intracomunitaria. Bienes de inversión","","21% EU IG","1","Compras","Bienes"
"True","IVA 21% Importaciones bienes corrientes","","21% EX G","1","Compras","Bienes"
"True","IVA 21% Importaciones bienes de inversión","","21% EX IG","1","Compras","Bienes"
"True","IVA 4% Adquisición de servicios extracomunitarios","","4% EX S","1","Compras","Servicios"
"True","IVA 10% Adquisición de servicios extracomunitarios","","10% EX S","1","Compras","Servicios"
"True","IVA 21% Adquisición de servicios extracomunitarios","","21% EX S","1","Compras","Servicios"
"True","IVA 4% Adquisición Intracomunitario. Bienes corrientes","","4% EU G","1","Compras","Bienes"
"True","IVA 4% Adquisición Intracomunitario. Bienes de inversión","","4% EU IG","1","Compras","Bienes"
"True","IVA 5% Adquisición Intracomunitario. Bienes de inversión","","5% EU IG","1","Compras","Bienes"
"True","IVA 10% Adquisición Intracomunitario. Bienes corrientes","","10% EU G","1","Compras","Bienes"
"True","IVA 10% Adquisición Intracomunitario. Bienes de inversión","","10% EU IG","1","Compras","Bienes"
"True","IVA 7,5% Adquisición Intracomunitario. Bienes corrientes","","7.5% EU G","1","Compras","Bienes"
"True","IVA 7,5% Adquisición Intracomunitario. Servicios corrientes","","7.5% EU S","1","Compras","Servicios"
"","IVA 5% Adquisición Intracomunitario. Bienes corrientes","","5% EU G","1","Compras","Bienes"
"","IVA 5% Adquisición Intracomunitario. Servicios corrientes","","5% EU S","1","Compras","Servicios"
"True","IVA 2% Adquisición Intracomunitario. Bienes corrientes","","2% EU G","1","Compras","Bienes"
"True","IVA 2% Adquisición Intracomunitario. Servicios corrientes","","2% EU S","1","Compras","Servicios"
"True","IVA 0% Adquisición Intracomunitario. Bienes corrientes","","0% EU G","1","Compras","Bienes"
"True","IVA 0% Adquisición Intracomunitario. Servicios corrientes","","0% EU S","1","Compras","Servicios"
"True","IVA 0% Prestación de servicios intracomunitario","Intracomunitario exento (Servicios)","0% EU S","1","Ventas","Servicios"
"True","No sujeto Repercutido (Servicios)","No sujeto (Servicios)","0% S NS","1","Ventas","Servicios"
"True","No sujeto y acogidas a la OSS (Servicios)","No sujeto y acogidas a la OSS (Servicios)","0% S OSS EXEMPT","1","Ventas","Servicios"
"True","No sujeto (Bienes)","No sujeto (Bienes)","0% G NS","1","Ventas","Bienes"
"True","No sujeto y acogidas a la OSS (Bienes)","No sujeto y acogidas a la OSS (Bienes)","0% G OSS EXEMPT","1","Ventas","Bienes"
"True","IVA 0% Extracomunitaria (Servicios)","Extracomunitario (Servicios)","0% EX S","1","Ventas","Servicios"
"True","IVA 4% Importaciones bienes corrientes","","4% EX G","1","Compras","Bienes"
"True","IVA 4% Importaciones bienes de inversión","","4% EX IG","1","Compras","Bienes"
"True","IVA 5% Importaciones bienes de inversión","","5% EX IG","1","Compras","Bienes"
"True","IVA 10% Importaciones bienes corrientes","","10% EX G","1","Compras","Bienes"
"True","IVA 10% Importaciones bienes de inversión","","10% EX IG","1","Compras","Bienes"
"True","IVA 7,5% Importaciones bienes corrientes","","7.5% EX G","1","Compras","Bienes"
"True","IVA 7,5% Adquisición de servicios extracomunitarios","","7.5% EX S","1","Compras","Servicios"
"","IVA 5% Importaciones bienes corrientes","","5% EX G","1","Compras","Bienes"
"","IVA 5% Adquisición de servicios extracomunitarios","","5% EX S","1","Compras","Servicios"
"True","IVA 2% Importaciones bienes corrientes","","2% EX G","1","Compras","Bienes"
"True","IVA 2% Adquisición de servicios extracomunitarios","","2% EX S","1","Compras","Servicios"
"True","IVA 0% Importaciones bienes corrientes","","0% EX G","1","Compras","Bienes"
"True","IVA 0% Adquisición de servicios extracomunitarios","","0% EX S","1","Compras","Servicios"
"True","0% IVA (bienes corrientes)","","0% G","1","Compras","Bienes"
"True","0% IVA (servicios corrientes)","","0% S","1","Compras","Servicios"
"True","2% IVA (bienes corrientes)","","2% G","1","Compras","Bienes"
"True","2% IVA (servicios corrientes)","","2% S","1","Compras","Servicios"
"True","4% IVA (bienes de inversión)","","4% IG","1","Compras","Bienes"
"True","5% IVA (bienes de inversión)","","5% IG","1","Compras","Bienes"
"True","4% IVA (servicios corrientes)","","4% S","1","Compras","Servicios"
"","5% IVA (bienes corrientes)","","5% G","1","Compras","Bienes"
"","5% IVA (servicios corrientes)","","5% S","1","Compras","Servicios"
"True","7,5% IVA (bienes corrientes)","","7.5% G","1","Compras","Bienes"
"True","7,5% IVA (servicios corrientes)","","7.5% S","1","Compras","Servicios"
"True","10% IVA (bienes de inversión)","","10% IG","1","Compras","Bienes"
"True","21% IVA (bienes de inversión)","","21% IG","1","Compras","Bienes"
"True","10% IVA (bienes corrientes)","","10% G","1","Compras","Bienes"
"True","4% IVA (bienes corrientes)","","4% G","1","Compras","Bienes"
"True","10% IVA (servicios corrientes)","","10% S","1","Compras","Servicios"
"","IVA Exento (Otros)","IVA Exento","0% EXEMPT Otros","1","Ventas",""
"","IVA Exento Art.22","IVA Exento","0% EXEMPT Art.22","1","Ventas",""
"","IVA Exento Art.23/24","IVA Exento","0% EXEMPT Art.23/24","1","Ventas",""
"True","IVA Exento Repercutido No Sujeto","IVA Exento No Sujeto","0% EXEMPT NS","1","Ventas",""
"True","IVA Exento Art.20","IVA Exento No Deducible","0% EXEMPT Art.20","1","Ventas",""
"True","0% Recargo Equivalencia Ventas","0% Rec. Eq.","0% SE","1","Ventas",""
"True","0,26% Recargo Equivalencia Ventas","0.50% Rec. Eq.","0.26% SE","1","Ventas",""
"True","0,50% Recargo Equivalencia Ventas","0.50% Rec. Eq.","0.5% SE","1","Ventas",""
"","0,62% Recargo Equivalencia Ventas","0.62% Rec. Eq.","0.62% SE","1","Ventas",""
"True","1% Recargo Equivalencia Ventas","0.62% Rec. Eq.","1% SE","1","Ventas",""
"True","IVA 4% (Bienes)","","4% G","1","Ventas","Bienes"
"True","IVA 10% (Bienes)","","10% G","1","Ventas","Bienes"
"True","21% IVA no deducible","","21% ND","1","Compras",""
"True","10% IVA no deducible","","10% ND","1","Compras",""
"True","7,5% IVA no deducible","","7.5% ND","1","Compras",""
"","5% IVA no deducible","","5% ND","1","Compras",""
"True","4% IVA no deducible","","4% ND","1","Compras",""
